from,to
Hercules (Marvel Comics),Whirlwind (comics)
Hercules (Marvel Comics),Erik Josten
Hercules (Marvel Comics),Korvac
Hercules (Marvel Comics),Griffin (Marvel Comics)
Hercules (Marvel Comics),Delphyne Gorgon
Hercules (Marvel Comics),Kang the Conqueror
Hercules (Marvel Comics),Rogue (comics)
Hercules (Marvel Comics),Nightcrawler (comics)
Hercules (Marvel Comics),Sebastian Shaw (comics)
Hercules (Marvel Comics),Carol Danvers
Hercules (Marvel Comics),High Evolutionary
Hercules (Marvel Comics),Silver Surfer
Hercules (Marvel Comics),Living Lightning
Hercules (Marvel Comics),Collector (comics)
Hercules (Marvel Comics),Diablo (Marvel Comics)
Hercules (Marvel Comics),Forgotten One (comics)
Hercules (Marvel Comics),Blood Brothers (comics)
Hercules (Marvel Comics),Kavita Rao
Hercules (Marvel Comics),Star-Lord
Hercules (Marvel Comics),Amatsu-Mikaboshi (comics)
Hercules (Marvel Comics),Spider-Man
Hercules (Marvel Comics),Ares (Marvel Comics)
Hercules (Marvel Comics),She-Hulk
Hercules (Marvel Comics),Amadeus Cho
Hercules (Marvel Comics),Power Princess
Hercules (Marvel Comics),Morgan le Fay (Marvel Comics)
Hercules (Marvel Comics),Pluto (Marvel Comics)
Hercules (Marvel Comics),Medusa (comics)
Hercules (Marvel Comics),Mister Hyde (comics)
Hercules (Marvel Comics),Galactus
Hercules (Marvel Comics),Wonder Man
Hercules (Marvel Comics),Dragon Man (comics)
Hercules (Marvel Comics),Surtur (Marvel Comics)
Hercules (Marvel Comics),Firelord (comics)
Hercules (Marvel Comics),Thor (Marvel Comics)
Hercules (Marvel Comics),Hermes (Marvel Comics)
Hercules (Marvel Comics),Man-Bull
Hercules (Marvel Comics),Doctor Doom
Hercules (Marvel Comics),Tigra
Hercules (Marvel Comics),Athena (Marvel Comics)
Hercules (Marvel Comics),Namora
Rawhide Kid,Kid Colt
Rawhide Kid,Ultron
Rawhide Kid,Red Wolf (comics)
Rawhide Kid,Two-Gun Kid
Rawhide Kid,Gwenpool
Rawhide Kid,Thor (Marvel Comics)
Shang-Chi|Shang-Chi (Marvel Cinematic Universe),Trevor Slattery
Shang-Chi|Shang-Chi (Marvel Cinematic Universe),Zheng Zu
Arkon,Doctor Strange
Arkon,Storm (Marvel Comics)
Arkon,Doctor Druid
Arkon,Jennifer Kale
Arkon,Enchantress (Marvel Comics)
Arkon,Skull the Slayer
Arkon,Man-Thing
Arkon,Wonder Man
Arkon,Thundra
Arkon,Thor (Marvel Comics)
Arkon,Clea
Arkon,Cyclops (Marvel Comics)
Arkon,Goom
Arkon,Morgan le Fay (Marvel Comics)
Onyxx,Trance (comics)
Onyxx,Dust (comics)
Onyxx,William Stryker
Onyxx,Mystique (comics)
Onyxx,Rogue (comics)
Onyxx,Loa (comics)
Onyxx,Cyclops (Marvel Comics)
Onyxx,Mercury (Marvel Comics)
Onyxx,Gambit (Marvel Comics)
Onyxx,Wither (comics)
Gorilla-Man,Electro (Marvel Comics)
Gorilla-Man,Luke Cage
Gorilla-Man,Red Hulk
Gorilla-Man,Immortus
Gorilla-Man,Dracula (Marvel Comics)
Gorilla-Man,Odin (comics)
Gorilla-Man,Chondu the Mystic
Gorilla-Man,Blastaar
Gorilla-Man,Humbug (comics)
Gorilla-Man,Squirrel Girl
Gorilla-Man,Robert Maverick
Gorilla-Man,Orrgo
Gorilla-Man,Captain Ultra
Gorilla-Man,Ursa Major (comics)
Gorilla-Man,Spider-Man
Gorilla-Man,She-Hulk
Gorilla-Man,Juggernaut (comics)
Gorilla-Man,Domino (comics)
Gorilla-Man,Mysterio
Gorilla-Man,Star-Lord
Gorilla-Man,Namora
Chase Stein,Old Lace (comics)
Chase Stein,Mephisto (comics)
Chase Stein,Victor Mancha
Chase Stein,Baron Zemo
Chase Stein,Kingpin (comics)
Chase Stein,Reptil
Chase Stein,Daken
Chase Stein,Speed (comics)
Chase Stein,Arcade (Marvel Comics)
Chase Stein,Daimon Hellstrom
Chase Stein,Darkhawk
Chase Stein,Cullen Bloodstone
Romany Wisdom,Pete Wisdom
Blastaar,Medusa (comics)
Blastaar,Mister Fantastic
Blastaar,Thor (Marvel Comics)
Blastaar,Thing (comics)
Blastaar,Super-Adaptoid
Blastaar,Ymir (Marvel Comics)
Blastaar,Triton (comics)
Blastaar,Sandman (Marvel Comics)
Blastaar,Darkhawk
Blastaar,Hardball (comics)
Blastaar,Annihilus
DP 7,Wonder Man
DP 7,Quasar (comics)
Indra (comics),Anole (comics)
Indra (comics),Franklin Richards (Fantastic Four)
Indra (comics),Stepford Cuckoos
Indra (comics),Molly Hayes
Indra (comics),William Stryker
Indra (comics),Magneto (Marvel Comics)
Indra (comics),Predator X (Marvel Comics)
Indra (comics),Northstar (Marvel Comics)
Indra (comics),Rogue (comics)
Indra (comics),Loa (comics)
Indra (comics),Gambit (Marvel Comics)
Indra (comics),Karma (comics)
Indra (comics),Sentinel (comics)
Warrior Woman (Marvel Comics),Toro (comics)
Warrior Woman (Marvel Comics),Human Torch (android)
Warrior Woman (Marvel Comics),Namor the Sub-Mariner
Warrior Woman (Marvel Comics),Lady Lotus
Mayhem (comics),Styx and Stone
Mayhem (comics),Terror Inc.
Mayhem (comics),Cloak and Dagger (comics)
Mayhem (comics),D'Spayre
Batwing (Marvel Comics),Lizard (comics)
Batwing (Marvel Comics),Bengal (comics)
Batwing (Marvel Comics),Mister Fantastic
Batwing (Marvel Comics),Crusader (Marvel Comics)
Batwing (Marvel Comics),Gorilla Girl
Batwing (Marvel Comics),Thor Girl
Batwing (Marvel Comics),Spider-Man
Batwing (Marvel Comics),Robbie Baldwin
Batwing (Marvel Comics),Prodigy (Ritchie Gilmore)
Glob (comics),Man-Thing
Glob (comics),Rick Jones (comics)
Glob (comics),Collector (comics)
Glob (comics),Leader (comics)
Ronin (Marvel Comics),Spider-Man
Ronin (Marvel Comics),Daredevil (Marvel Comics character)
Ronin (Marvel Comics),Moon Knight
Ronin (Marvel Comics),Echo (Marvel Comics)
Ronin (Marvel Comics),Red Guardian
Ronin (Marvel Comics),Blade (character)
Ronin (Marvel Comics),Nighthawk (Marvel Comics)
Nitro (comics),Rhino (comics)
Nitro (comics),Daredevil (Marvel Comics character)
Nitro (comics),Kingpin (comics)
Nitro (comics),Titanium Man
Nitro (comics),Quicksilver (comics)
Nitro (comics),Helmut Zemo
Nitro (comics),Hammerhead (comics)
Nitro (comics),Hood (comics)
Nitro (comics),Namorita
Nitro (comics),Silvermane
Nitro (comics),Magneto (Marvel Comics)
Nitro (comics),Omega the Unknown
Nitro (comics),Rogue (comics)
Nitro (comics),Skids (comics)
Nitro (comics),Sabretooth (comics)
Nitro (comics),Silver Surfer
Nitro (comics),Storm (Marvel Comics)
Nitro (comics),Betsy Braddock
Nitro (comics),Cobalt Man
Nitro (comics),Spider-Man
Nitro (comics),Night Thrasher (Dwayne Taylor)
Nitro (comics),Robbie Baldwin
Nitro (comics),Don Fortunato
Nitro (comics),Doctor Doom
Ex Nihilo (comics),Captain Universe
Ex Nihilo (comics),Nightmask
Ex Nihilo (comics),Star Brand
Ex Nihilo (comics),Sunspot (comics)
Nuklo,Isbisa
Nuklo,Living Laser
Nuklo,Miss America (Madeline Joyce)
Sauron (comics),Devil Dinosaur
Sauron (comics),Cloak and Dagger (comics)
Sauron (comics),Fin Fang Foom
Sauron (comics),Brent Jackson
Sauron (comics),Quicksilver (comics)
Sauron (comics),Cable (comics)
Sauron (comics),Nate Grey
Sauron (comics),Impossible Man
Sauron (comics),Havok (comics)
Sauron (comics),Stegron
Sauron (comics),Magneto (Marvel Comics)
Sauron (comics),Siryn
Sauron (comics),Rogue (comics)
Sauron (comics),Cannonball (comics)
Sauron (comics),Storm (Marvel Comics)
Sauron (comics),Beast (comics)
Sauron (comics),Silver Samurai
Sauron (comics),Jean Grey
Sauron (comics),Mastermind (Jason Wyngarde)
Sauron (comics),Shanna the She-Devil
Sauron (comics),Spider-Man
Sauron (comics),Mister Sinister
Sauron (comics),Maria Hill
Sauron (comics),She-Hulk
Sauron (comics),Portal (comics)
Sauron (comics),Zabu
Sauron (comics),Forge (comics)
Sauron (comics),Malcolm Colcord
Sauron (comics),Professor X
Sauron (comics),Domino (comics)
Sauron (comics),Gambit (Marvel Comics)
Sauron (comics),Ben Reilly
Sauron (comics),Blob (comics)
Hiro Takachiho,Sunfire (comics)
Hiro Takachiho,Honey Lemon
Hiro Takachiho,Baymax
Hiro Takachiho,Silver Samurai
Hiro Takachiho,Tadashi Hamada
Dreadknight,Mordred (comics)
Dreadknight,She-Hulk
Dreadknight,Absorbing Man
Dreadknight,Wizard (Marvel Comics)
Dreadknight,Frankenstein's Monster (Marvel Comics)
Dreadknight,Hobgoblin (comics)
Dreadknight,Black Knight (comics)
Dreadknight,Whiplash (comics)
Dreadknight,Man-Bull
Dreadknight,Doctor Doom
Dreadknight,Demogoblin
Dreadknight,Trapster
Dreadknight,Spider-Man
Dreadknight,Titania (Marvel Comics)
Dreadknight,Morgan le Fay (Marvel Comics)
Dreadknight,Captain Britain
Cosmo the Spacedog,Gamora
Cosmo the Spacedog,Collector (comics)
Cosmo the Spacedog,Drax the Destroyer
Cosmo the Spacedog,Groot
Cosmo the Spacedog,Spider-Man
Cosmo the Spacedog,Adam Warlock
Captain Marvel (Marvel Comics),Phyla-Vell
Captain Marvel (Marvel Comics),Kismet (Marvel Comics)
Captain Marvel (Marvel Comics),Elsa Bloodstone
Captain Marvel (Marvel Comics),Ms. Marvel
Captain Marvel (Marvel Comics),Rick Jones (comics)
Captain Marvel (Marvel Comics),Superman
Captain Marvel (Marvel Comics),Genis-Vell
Captain Marvel (Marvel Comics),Tabitha Smith
Captain Marvel (Marvel Comics),Carol Danvers
Captain Marvel (Marvel Comics),Stranger (comics)
Captain Marvel (Marvel Comics),Silver Surfer
Captain Marvel (Marvel Comics),Ultron
Captain Marvel (Marvel Comics),Quasar (comics)
Captain Marvel (Marvel Comics),Death (Marvel Comics)
Captain Marvel (Marvel Comics),Captain Marvel (DC Comics)
Captain Marvel (Marvel Comics),Supreme Intelligence
Captain Marvel (Marvel Comics),Annihilus
Captain Marvel (Marvel Comics),Nitro (comics)
Captain Marvel (Marvel Comics),Moondragon
Captain Marvel (Marvel Comics),Captain (comics)
Captain Marvel (Marvel Comics),Machine Man
Threnody (comics),Riptide (comics)
Threnody (comics),Beast (comics)
Threnody (comics),Madelyne Pryor
Threnody (comics),Mister Sinister
Threnody (comics),Exodus (comics)
Threnody (comics),Holocaust (Marvel Comics)
Threnody (comics),Nate Grey
Threnody (comics),Cable (comics)
Threnody (comics),Rogue (comics)
Threnody (comics),Dark Beast
Threnody (comics),Spider-Man
Threnody (comics),Marauders (comics)
Eric O'Grady#Black Ant,Razorback (comics)
Eric O'Grady#Black Ant,Luke Cage
Eric O'Grady#Black Ant,Lizard (comics)
Eric O'Grady#Black Ant,Damage Control (comics)
Eric O'Grady#Black Ant,Doc Samson
Eric O'Grady#Black Ant,Stingray (comics)
Eric O'Grady#Black Ant,Mister X (Marvel Comics)
Eric O'Grady#Black Ant,Headsman (comics)
Eric O'Grady#Black Ant,Hood (comics)
Eric O'Grady#Black Ant,Jack O'Lantern (Marvel Comics)
Eric O'Grady#Black Ant,Kraven the Hunter
Eric O'Grady#Black Ant,Black Fox (Raul Chalmers)
Eric O'Grady#Black Ant,War Machine
Eric O'Grady#Black Ant,Taskmaster (comics)
Eric O'Grady#Black Ant,Carol Danvers
Eric O'Grady#Black Ant,Henry Pym
Eric O'Grady#Black Ant,Michael Van Patrick
Eric O'Grady#Black Ant,Spider-Man (Miles Morales)
Eric O'Grady#Black Ant,Paladin (comics)
Eric O'Grady#Black Ant,Mister Fantastic
Eric O'Grady#Black Ant,Ghost (Marvel Comics)
Eric O'Grady#Black Ant,Wasp (comics)
Eric O'Grady#Black Ant,Human Fly (comics)
Eric O'Grady#Black Ant,Slyde
Eric O'Grady#Black Ant,Darren Cross
Eric O'Grady#Black Ant,Foreigner (comics)
Eric O'Grady#Black Ant,Nuke (Marvel Comics)
Eric O'Grady#Black Ant,Songbird (comics)
Eric O'Grady#Black Ant,Thor (Marvel Comics)
Eric O'Grady#Black Ant,Spider-Woman
Eric O'Grady#Black Ant,Ant-Man
Eric O'Grady#Black Ant,White Rabbit (comics)
Eric O'Grady#Black Ant,Arcade (Marvel Comics)
Eric O'Grady#Black Ant,Tigra
Eric O'Grady#Black Ant,Bucky Barnes
Slug (comics),Doctor Strange
Slug (comics),Eric O'Grady#Black Ant
Slug (comics),Mickey Fondozzi
Slug (comics),Daredevil (Marvel Comics character)
Slug (comics),Hijacker (comics)
Slug (comics),Giganto
Slug (comics),Werner von Strucker
Slug (comics),Hammerhead (comics)
Slug (comics),Hood (comics)
Slug (comics),Kraven the Hunter
Slug (comics),Microchip (comics)
Slug (comics),Taskmaster (comics)
Slug (comics),Punisher
Slug (comics),High Evolutionary
Slug (comics),Madame Masque
Slug (comics),Spider-Man
Slug (comics),Don Fortunato
Slug (comics),Nomad (comics)
Slug (comics),Arcade (Marvel Comics)
Slug (comics),Tigra
Slug (comics),Power Broker (character)
Slug (comics),Blob (comics)
Jimmy-6,Daredevil (Marvel Comics character)
Jimmy-6,Spider-Man
Jimmy-6,Hammerhead (comics)
Jimmy-6,Venom (Marvel Comics character)
Jimmy-6,Ben Reilly
Jimmy-6,Don Fortunato
Jimmy-6,Punisher
MJ (Marvel Cinematic Universe),Spider-Man
Doctor Bong,Boomerang (comics)
Doctor Bong,Colleen Wing
Doctor Bong,Moon Knight
Doctor Bong,Howard the Duck
Doctor Bong,Mirage (Marvel Comics)
Doctor Bong,Porcupine (comics)
Doctor Bong,Chondu the Mystic
Doctor Bong,Jester (Marvel Comics)
Doctor Bong,Grizzly (comics)
Doctor Bong,Beverly Switzler
Doctor Bong,Misty Knight
Doctor Bong,Ruby Thursday
Doctor Bong,She-Hulk
Spot (comics),Cloak and Dagger (comics)
Spot (comics),Daredevil (Marvel Comics character)
Spot (comics),Hobgoblin (comics)
Spot (comics),Grizzly (comics)
Spot (comics),Silk (comics)
Spot (comics),Anya Corazon
Spot (comics),Carnage (character)
Spot (comics),Hammerhead (comics)
Spot (comics),Hood (comics)
Spot (comics),Spider-Man 2099
Spot (comics),Black Cat (Marvel Comics)
Spot (comics),Madame Web
Spot (comics),Mister Negative
Spot (comics),Gibbon (comics)
Spot (comics),Diablo (Marvel Comics)
Spot (comics),Tombstone (comics)
Spot (comics),Owl (Marvel Comics)
Spot (comics),Overdrive (comics)
Spot (comics),Spider-Man
Spot (comics),Slyde
Spot (comics),Chameleon (comics)
Spot (comics),Beyonder
Spot (comics),Boomerang (comics)
Spot (comics),Prowler (Marvel Comics)
Spot (comics),Kangaroo (comics)
Spot (comics),Jessica Jones
Spot (comics),MODOK
Spot (comics),Menace (Marvel Comics)
Spot (comics),White Rabbit (comics)
Spot (comics),Turk Barrett
Spot (comics),Harry Osborn#Kindred
Spot (comics),Doctor Octopus
Devastator (comics),Rom (comics)
Reptil,Zabu
Reptil,Devil Dinosaur
Reptil,Moon-Boy
Reptil,Juston Seyfert
Reptil,Hybrid (Jimmy Marks)
Reptil,Korvac
Reptil,Doc Samson
Reptil,Stegron
Reptil,Emma Frost
Reptil,Jessica Jones
Reptil,Valerie Cooper
Reptil,Doctor Doom
Reptil,Mentallo
Reptil,Arcade (Marvel Comics)
Reptil,Tigra
Reptil,Anya Corazon
Reptil,Komodo (comics)
Reptil,Baron Von Blitzschlag
Echo (Marvel Comics),Doctor Strange
Echo (Marvel Comics),Luke Cage
Echo (Marvel Comics),Thunderbird (John Proudstar)
Echo (Marvel Comics),Elloe Kaifi
Echo (Marvel Comics),Daredevil (Marvel Comics character)
Echo (Marvel Comics),Blade (character)
Echo (Marvel Comics),D'Spayre
Echo (Marvel Comics),Hood (comics)
Echo (Marvel Comics),Rick Jones (comics)
Echo (Marvel Comics),Star Brand
Echo (Marvel Comics),Wong (comics)
Echo (Marvel Comics),Taskmaster (comics)
Echo (Marvel Comics),Carol Danvers
Echo (Marvel Comics),Hiroim
Echo (Marvel Comics),Klaw (Marvel Comics)
Echo (Marvel Comics),Moon Knight
Echo (Marvel Comics),Jean Grey
Echo (Marvel Comics),Leader (comics)
Echo (Marvel Comics),Iron Fist (comics)
Echo (Marvel Comics),Spider-Man
Echo (Marvel Comics),Ronin (Marvel Comics)
Echo (Marvel Comics),Jessica Jones
Echo (Marvel Comics),Ben Urich
Echo (Marvel Comics),Thor (Marvel Comics)
Echo (Marvel Comics),Bullseye (comics)
Echo (Marvel Comics),Bucky Barnes
Thanos|Thanos (Marvel Cinematic Universe),Deadpool
Thanos|Thanos (Marvel Cinematic Universe),Death (Marvel Comics)
Ulysses Bloodstone,Subterranea (comics)
Ulysses Bloodstone,Centurius
Ulysses Bloodstone,Fin Fang Foom
Ulysses Bloodstone,Daken
Ulysses Bloodstone,Killer Shrike
Ulysses Bloodstone,Arcade (Marvel Comics)
Ulysses Bloodstone,Mephisto (comics)
Ulysses Bloodstone,She-Hulk
Ulysses Bloodstone,Punisher
Professor Thorton,Silver Fox (comics)
Professor Thorton,Ultron
Professor Thorton,Abraham Cornelius
Professor Thorton,Sabretooth (comics)
Steel Spider,Frog-Man
Steel Spider,J. Jonah Jameson
Steel Spider,Songbird (comics)
Steel Spider,American Eagle (Marvel Comics)
Steel Spider,Fenris (comics)
Steel Spider,American Dream (comics)
Steel Spider,Alistair Smythe
Steel Spider,Spider-Girl (Mayday Parker)
Steel Spider,Robbie Baldwin
Steel Spider,Doctor Octopus
Steel Spider,Ben Reilly
Steel Spider,Spider-Man
Steel Spider,Darkhawk
Steel Spider,Madame Web
Steel Spider,Radioactive Man (comics)
Steel Spider,Beyonder
Starlight (Marvel Comics),Doctor Strange
Starlight (Marvel Comics),Luke Cage
Starlight (Marvel Comics),Immortus
Starlight (Marvel Comics),Plantman
Starlight (Marvel Comics),Darkstar (Marvel Comics)
Starlight (Marvel Comics),Quasar (comics)
Starlight (Marvel Comics),Ursa Major (comics)
Starlight (Marvel Comics),Eel (comics)
Starlight (Marvel Comics),Valkyrie (Marvel Comics)
Starlight (Marvel Comics),Porcupine (comics)
Starlight (Marvel Comics),Jack of Hearts (Marvel Comics)
Starlight (Marvel Comics),Red Guardian
Starlight (Marvel Comics),Crimson Dynamo
Starlight (Marvel Comics),Kang the Conqueror
Starlight (Marvel Comics),Patsy Walker
Starlight (Marvel Comics),Nighthawk (Marvel Comics)
Starlight (Marvel Comics),Stranger (comics)
Justice (New Universe),Rick Jones (comics)
Justice (New Universe),Star Brand
Justice (New Universe),Quasar (comics)
Justice (New Universe),Thor (Marvel Comics)
Justice (New Universe),Hulk 2099
Justice (New Universe),Proteus (Marvel Comics)
Justice (New Universe),Spider-Man 2099
Samuel Silke,Jack Murdock (comics)
Samuel Silke,Daredevil (Marvel Comics character)
Samuel Silke,Kingpin (comics)
Samuel Silke,Absorbing Man
Samuel Silke,Richard Fisk
Samuel Silke,Vanessa Fisk
Lady Mastermind,Destiny (Irene Adler)
Lady Mastermind,Prism (comics)
Lady Mastermind,Scrambler (comics)
Lady Mastermind,Mystique (comics)
Lady Mastermind,Cable (comics)
Lady Mastermind,Sunfire (comics)
Lady Mastermind,Madelyne Pryor
Lady Mastermind,Pixie (X-Men)
Lady Mastermind,Dazzler (Marvel Comics)
Lady Mastermind,Malice (comics)
Lady Mastermind,Rogue (comics)
Lady Mastermind,Nightcrawler (comics)
Lady Mastermind,Cannonball (comics)
Lady Mastermind,Marauders (comics)
Lady Mastermind,Sebastian Shaw (comics)
Lady Mastermind,Karma (comics)
Lady Mastermind,Karima Shapandar
Lady Mastermind,Sabretooth (comics)
Lady Mastermind,Storm (Marvel Comics)
Lady Mastermind,Betsy Braddock
Lady Mastermind,Emma Frost
Lady Mastermind,Spiral (comics)
Lady Mastermind,Serafina (Marvel)
Lady Mastermind,Lifeguard (comics)
Lady Mastermind,Jean Grey
Lady Mastermind,Mastermind (Jason Wyngarde)
Lady Mastermind,Sage (comics)
Lady Mastermind,Gambit (Marvel Comics)
Lady Mastermind,Scalphunter (Marvel Comics)
Lady Mastermind,Revanche (Marvel Comics)
Hecate (Marvel Comics),Zeus (Marvel Comics)
Hecate (Marvel Comics),Griffin (Marvel Comics)
Hecate (Marvel Comics),Juggernaut (comics)
Hecate (Marvel Comics),Man-Bull
Hecate (Marvel Comics),Hercules (Marvel Comics)
Hecate (Marvel Comics),Ms. Marvel
Hecate (Marvel Comics),Carol Danvers
Martin Soap,Paul Budiansky
Martin Soap,Russian (comics)
Martin Soap,Ma Gnucci
Martin Soap,Jigsaw (Marvel Comics)
Martin Soap,Punisher
Hybrid (Jimmy Marks),High Evolutionary
Hybrid (Jimmy Marks),Destiny (Irene Adler)
Hybrid (Jimmy Marks),Rom (comics)
Hybrid (Jimmy Marks),Reptil
Hybrid (Jimmy Marks),Mystique (comics)
Hybrid (Jimmy Marks),Rogue (comics)
Hybrid (Jimmy Marks),Cannonball (comics)
Hybrid (Jimmy Marks),Starshine (comics)
Fantomex,Mystique (comics)
Fantomex,Predator X (Marvel Comics)
Fantomex,Cable (comics)
Fantomex,Colossus (comics)
Fantomex,Prudence Leighton
Fantomex,Jamie Braddock
Fantomex,Dust (comics)
Fantomex,Darkstar (Marvel Comics)
Fantomex,Magneto (Marvel Comics)
Fantomex,Cyclops (Marvel Comics)
Fantomex,Xorn
Fantomex,Apocalypse (comics)
Fantomex,Deadpool
Fantomex,Storm (Marvel Comics)
Fantomex,Shadow King
Fantomex,Beast (comics)
Fantomex,Betsy Braddock
Fantomex,Jean Grey
Fantomex,Doctor Nemesis
Fantomex,Captain Britain
Fantomex,Deathlok
Fantomex,Shortpack
Fantomex,Bastion (comics)
Fantomex,Professor X
Fantomex,Sage (comics)
Fantomex,Doctor Doom
Fantomex,Nimrod (comics)
Fantomex,David North (comics)
Fantomex,Cassandra Nova
Cecilia Reyes,Tatiana Caban
Cecilia Reyes,Daredevil (Marvel Comics character)
Cecilia Reyes,Colossus (comics)
Cecilia Reyes,Northstar (Marvel Comics)
Cecilia Reyes,Kiden Nixon
Cecilia Reyes,Hope Summers (comics)
Cecilia Reyes,Fantomex
Cecilia Reyes,Iceman (Marvel Comics)
Cecilia Reyes,N'Garai
Cecilia Reyes,Karma (comics)
Cecilia Reyes,Shadow King
Cecilia Reyes,Beast (comics)
Cecilia Reyes,Betsy Braddock
Cecilia Reyes,Mister Sinister
Cecilia Reyes,Pyro (Marvel Comics)
Cecilia Reyes,Marrow (comics)
Cecilia Reyes,Bastion (comics)
Cecilia Reyes,Professor X
Cecilia Reyes,Juggernaut (comics)
Cecilia Reyes,Gambit (Marvel Comics)
Cecilia Reyes,David North (comics)
Sun Girl (Marvel Comics),Electro (Marvel Comics)
Sun Girl (Marvel Comics),Carrion (comics)
Sun Girl (Marvel Comics),Toro (comics)
Sun Girl (Marvel Comics),Human Torch (android)
Sun Girl (Marvel Comics),Mysterio
Sun Girl (Marvel Comics),Doctor Octopus
Sun Girl (Marvel Comics),Lightmaster
Sun Girl (Marvel Comics),Sandman (Marvel Comics)
Sun Girl (Marvel Comics),Spider-Man
Sun Girl (Marvel Comics),Chameleon (comics)
Sun Girl (Marvel Comics),Robbie Baldwin
Amanda Sefton,Doctor Strange
Amanda Sefton,Belasco (Marvel Comics)
Amanda Sefton,Professor X
Amanda Sefton,Pixie (X-Men)
Amanda Sefton,Nightmare (Marvel Comics)
Amanda Sefton,Jean Grey
Amanda Sefton,Nightcrawler (comics)
Amanda Sefton,Beyonder
Amanda Sefton,Captain Britain
Amanda Sefton,Meggan (character)
Amanda Sefton,N'Garai
Amanda Sefton,D'Spayre
Amanda Sefton,Sentinel (comics)
Living Laser,Enchantress (Marvel Comics)
Living Laser,Ultimo (Marvel Comics)
Living Laser,Grim Reaper (comics)
Living Laser,Titanium Man
Living Laser,Helmut Zemo
Living Laser,Zeke Stane
Living Laser,Hood (comics)
Living Laser,Whirlwind (comics)
Living Laser,Erik Josten
Living Laser,Franklin Richards (Fantastic Four)
Living Laser,Swordsman (comics)
Living Laser,War Machine
Living Laser,Sin-Eater (comics)
Living Laser,Quasar (comics)
Living Laser,Ghost (Marvel Comics)
Living Laser,Wasp (comics)
Living Laser,Spider-Man
Living Laser,Justin Hammer
Living Laser,Fixer (comics)
Living Laser,Grey Gargoyle
Living Laser,MODOK
Living Laser,Thor (Marvel Comics)
Living Laser,Mandarin (comics)
Living Laser,Nuklo
Living Laser,Batroc the Leaper
Living Laser,Aldrich Killian
Living Laser,Pepper Potts
Living Laser,Harry Osborn#Kindred
Overmind (comics),Miracle Man
Overmind (comics),Galactus
Overmind (comics),Baron Zemo
Overmind (comics),Mister Fantastic
Overmind (comics),Daimon Hellstrom
Overmind (comics),Doctor Doom
Overmind (comics),Kang the Conqueror
Overmind (comics),Nighthawk (Marvel Comics)
Overmind (comics),Purple Man
Overmind (comics),Mad Thinker
Overmind (comics),Nth Man
Overmind (comics),Stranger (comics)
Jemma Simmons,Phil Coulson
Jemma Simmons,Deathlok
Jemma Simmons,Heimdall (comics)
Jemma Simmons,Mockingbird (Marvel Comics)
Jemma Simmons,Leo Fitz
Plunderer (comics),Rhino (comics)
Plunderer (comics),Rom (comics)
Plunderer (comics),Daredevil (Marvel Comics character)
Plunderer (comics),Mister Fantastic
Plunderer (comics),Doctor Octopus
Plunderer (comics),Shanna the She-Devil
Plunderer (comics),Spider-Man
Plunderer (comics),Punisher
Power Princess,Doctor Spectrum
Power Princess,Redstone (comics)
Power Princess,Overmind (comics)
Power Princess,Malekith the Accursed
Power Princess,Thor (Marvel Comics)
Power Princess,Proteus (Marvel Comics)
Power Princess,Inertia (Marvel Comics)
Power Princess,Crimson Dynamo
Power Princess,Hope Pym
Power Princess,Hyperion (comics)
Power Princess,Nighthawk (Marvel Comics)
Power Princess,Blue Eagle (comics)
Power Princess,Mephisto (comics)
Power Princess,Carol Danvers
Power Princess,Nth Man
Power Princess,Wonder Woman
Dryad (comics),Stepford Cuckoos
Dryad (comics),Anole (comics)
Dryad (comics),Blob (comics)
Miracle Man,Rhino (comics)
Miracle Man,Dormammu
Miracle Man,Medusa (comics)
Miracle Man,Mister Fantastic
Miracle Man,Scourge of the Underworld
Miracle Man,Wyatt Wingfoot
Miracle Man,Thing (comics)
Miracle Man,Daimon Hellstrom
Miracle Man,Hood (comics)
Miracle Man,Punisher
Spike Freeman,X-Statix
Helix (Marvel Comics),Timeslip (comics)
Helix (Marvel Comics),Wonder Man
Helix (Marvel Comics),Spidercide
Helix (Marvel Comics),Alex Power
Helix (Marvel Comics),Jackal (Marvel Comics)
Helix (Marvel Comics),Super-Adaptoid
Helix (Marvel Comics),Charlie-27
Helix (Marvel Comics),Turbo (comics)
Helix (Marvel Comics),Spider-Man
Helix (Marvel Comics),Scarlet Spider
Nightwatch (comics),Cardiac (comics)
Nightwatch (comics),Doctor Druid
Nightwatch (comics),Deathlok
Nightwatch (comics),Wyatt Wingfoot
Nightwatch (comics),Shocker (comics)
Nightwatch (comics),Black Cat (Marvel Comics)
Nightwatch (comics),Spider-Man
Nightwatch (comics),She-Hulk
Nightwatch (comics),Venom (Marvel Comics character)
Nightwatch (comics),Firestar (Marvel Comics)
Kitty Pryde,Doctor Strange
Kitty Pryde,Destiny (Irene Adler)
Kitty Pryde,Morph (comics)
Kitty Pryde,Gamora
Kitty Pryde,Cyclops (Marvel Comics)
Kitty Pryde,Mephisto (comics)
Kitty Pryde,Danielle Moonstar
Kitty Pryde,Angela (comics)
Kitty Pryde,Mystique (comics)
Kitty Pryde,Colossus (comics)
Kitty Pryde,Caliban (comics)
Kitty Pryde,Callisto (comics)
Kitty Pryde,Franklin Richards (Fantastic Four)
Kitty Pryde,Lockheed (comics)
